scenario,model,seed,step,alive_population,births_this_step,deaths_this_step,p_one_alive,shannon_diversity_alive,theta_mean_alive,theta_std_alive,mean_resource_score_alive,opposite_interaction_rate
basis_selection,quantum,11,46,80,8,8,0.7125,0.8654698974285928,2.4083907924787566,0.47498491099250967,0.4621237157056061,0.4027777777777778
basis_selection,quantum,11,47,80,11,11,0.7,0.8812908992306927,2.401927499663392,0.4729754745442419,0.4655214466104197,0.6086956521739131
basis_selection,quantum,11,48,80,10,10,0.7125,0.8654698974285928,2.4297496467448507,0.47918565616050846,0.44522562552047146,0.4142857142857143
basis_selection,quantum,11,49,80,14,14,0.7125,0.8654698974285928,2.4384601219717146,0.48139398170288095,0.4359318201420934,0.4393939393939394
basis_selection,quantum,11,50,80,14,14,0.75,0.8112781244591328,2.4541731378074703,0.5014634813445601,0.42129240887200325,0.45454545454545453
basis_selection,quantum,11,51,80,6,6,0.75,0.8112781244591328,2.4269829876672993,0.4942858525076768,0.4386445234165254,0.3918918918918919
basis_selection,quantum,11,52,80,9,9,0.75,0.8112781244591328,2.4430369377040124,0.4982677262054842,0.4295688281172653,0.4084507042253521
basis_selection,quantum,11,53,80,9,9,0.7625,0.79085809055281,2.471857807344459,0.5155225024041591,0.4075138323004916,0.39436619718309857
basis_selection,quantum,11,54,80,13,13,0.6875,0.8960382325345575,2.431515998091963,0.5376023850733397,0.42437617920492354,0.40298507462686567
basis_selection,quantum,11,55,80,12,12,0.675,0.9097361225311661,2.4396227303985905,0.503453907195919,0.4273898725152683,0.4411764705882353
basis_selection,quantum,11,56,80,13,13,0.6875,0.8960382325345575,2.440181200197918,0.5087408626867569,0.4270341249745943,0.5074626865671642
basis_selection,quantum,11,57,80,10,10,0.7,0.8812908992306927,2.4649992174969184,0.49840295703516574,0.41518061181552834,0.4142857142857143
basis_selection,quantum,11,58,80,14,14,0.675,0.9097361225311661,2.5439243119494312,0.49919669010464035,0.3649233212801268,0.5303030303030303
basis_selection,quantum,11,59,80,12,12,0.65,0.934068055375491,2.5162347945018473,0.49244918547777106,0.3771725701629196,0.5
basis_selection,quantum,11,60,80,10,10,0.6625,0.9224062617590723,2.517557618069393,0.4927872509630214,0.3774239256851305,0.5
basis_selection,quantum,11,61,80,13,13,0.6625,0.9224062617590723,2.5490284794346225,0.48240816813573806,0.35725870760147227,0.5223880597014925
basis_selection,quantum,11,62,80,10,10,0.6625,0.9224062617590723,2.537682907408265,0.48160460563893526,0.3601779848509901,0.37142857142857144
basis_selection,quantum,11,63,80,12,12,0.6625,0.9224062617590723,2.5346623199104625,0.4845922649841622,0.3660093919567736,0.4411764705882353
basis_selection,quantum,11,64,80,10,10,0.7,0.8812908992306927,2.563057597469456,0.47580916710542237,0.3515894715288906,0.4142857142857143
basis_selection,quantum,12,0,24,0,0,0.5833333333333334,0.9798687566511528,1.579533285260023,0.7092611350217508,0.6325636401330291,0.0
basis_selection,quantum,12,1,27,9,6,0.5555555555555556,0.9910760598382222,1.5182943691260269,0.7443989645009481,0.6131945032836912,0.6111111111111112
basis_selection,quantum,12,2,31,6,2,0.5806451612903226,0.9811522341999133,1.5897331928030842,0.7597779864013194,0.6064622665488565,0.36
basis_selection,quantum,12,3,36,8,3,0.5555555555555556,0.9910760598382222,1.604163603949648,0.770204143312276,0.5991618674907592,0.5
basis_selection,quantum,12,4,40,8,4,0.575,0.9837082626231857,1.6336399936743362,0.8002985110304424,0.5787532820989014,0.5
basis_selection,quantum,12,5,43,11,8,0.5581395348837209,0.9902246902198684,1.5680241483293214,0.829047687979363,0.5588280167152264,0.625
basis_selection,quantum,12,6,53,13,3,0.6037735849056604,0.9687003436508602,1.6990140513667877,0.8053798197474857,0.563376406237509,0.575
basis_selection,quantum,12,7,59,13,7,0.5423728813559322,0.9948131754904235,1.7734436983337303,0.7797394793521983,0.5749994814288507,0.41304347826086957
basis_selection,quantum,12,8,61,12,10,0.5901639344262295,0.9764143081154869,1.8466506953397213,0.8301771469452311,0.5314878940697083,0.3877551020408163
basis_selection,quantum,12,9,79,23,5,0.5822784810126582,0.980377508715691,1.8988530842417706,0.8045914000174123,0.5330587151071562,0.4642857142857143
basis_selection,quantum,12,10,80,16,15,0.6,0.9709505944546686,1.9503653051094738,0.7885659710936257,0.5263679228507152,0.375
basis_selection,quantum,12,11,80,8,8,0.6125,0.9631672450918831,1.9786455770828226,0.7631817924830292,0.53272405677041,0.5416666666666666
basis_selection,quantum,12,12,80,8,8,0.675,0.9097361225311661,2.0512043944275398,0.7576443021699425,0.5152590423394849,0.4722222222222222
basis_selection,quantum,12,13,80,15,15,0.6875,0.8960382325345575,2.093012418852465,0.7211316565303112,0.5218173833424304,0.49230769230769234
basis_selection,quantum,12,14,80,11,11,0.7125,0.8654698974285928,2.1318028072323973,0.6723861360550716,0.53158246547271,0.43478260869565216
basis_selection,quantum,12,15,80,8,8,0.7,0.8812908992306927,2.1310120812883793,0.6326186232960808,0.5495513626037719,0.4166666666666667
basis_selection,quantum,12,16,80,11,11,0.6875,0.8960382325345575,2.08541463523148,0.6419452822862975,0.5620347334858773,0.43478260869565216
basis_selection,quantum,12,17,80,10,10,0.7,0.8812908992306927,2.1085988039638437,0.6539777152414937,0.5626396300652676,0.4714285714285714
basis_selection,quantum,12,18,80,12,12,0.7,0.8812908992306927,2.1779014045094898,0.6681568562923188,0.5291455240749883,0.39705882352941174
basis_selection,quantum,12,19,80,10,10,0.675,0.9097361225311661,2.1396088438502416,0.6679388113159359,0.5446620285952884,0.37142857142857144
basis_selection,quantum,12,20,80,14,14,0.65,0.934068055375491,2.151025463269233,0.6212579696741798,0.5628700685974549,0.45454545454545453
basis_selection,quantum,12,21,80,14,14,0.65,0.934068055375491,2.170629789962008,0.6299644903202312,0.5576228671698535,0.4696969696969697
basis_selection,quantum,12,22,80,6,6,0.5875,0.9777945702913884,2.1465610206191483,0.6491337654165079,0.5595021111781557,0.3918918918918919
basis_selection,quantum,12,23,80,8,8,0.5875,0.9777945702913884,2.1596620614042696,0.6137148270950736,0.5657426883961632,0.5277777777777778
basis_selection,quantum,12,24,80,10,10,0.6,0.9709505944546686,2.148829296197558,0.5866154350030237,0.5770197991782984,0.45714285714285713
basis_selection,quantum,12,25,80,13,13,0.5625,0.9886994082884974,2.136706070546422,0.5492222118862676,0.591967164815171,0.5522388059701493
basis_selection,quantum,12,26,80,11,11,0.575,0.9837082626231857,2.16574363819035,0.5382221737304901,0.5809392410569354,0.5072463768115942
basis_selection,quantum,12,27,80,11,11,0.6125,0.9631672450918831,2.1892924027409104,0.5751343659482255,0.557796016303193,0.43478260869565216
basis_selection,quantum,12,28,80,15,15,0.6375,0.9447388286467892,2.220152476588015,0.5833272412691215,0.5345007639932906,0.4
basis_selection,quantum,12,29,70,12,22,0.6142857142857143,0.9619780596506257,2.22766658333244,0.5987495557480919,0.5139672583633742,0.5344827586206896
basis_selection,quantum,12,30,80,17,7,0.6625,0.9224062617590723,2.2482426141476806,0.5782838656640061,0.5102780464941145,0.5079365079365079
basis_selection,quantum,12,31,80,12,12,0.725,0.8485481782946158,2.2963449703685788,0.5506107289358091,0.4976568202685983,0.4117647058823529
basis_selection,quantum,12,32,80,13,13,0.75,0.8112781244591328,2.2721300820758494,0.5838823383302633,0.4900659511471053,0.373134328358209
basis_selection,quantum,12,33,80,10,10,0.7625,0.79085809055281,2.2712352923027987,0.5339337620747595,0.5107097477301213,0.35714285714285715
basis_selection,quantum,12,34,80,10,10,0.775,0.7691928290130137,2.268767775397918,0.5914048010947883,0.4898213402247625,0.44285714285714284
basis_selection,quantum,12,35,80,8,8,0.775,0.7691928290130137,2.2773744917163445,0.5927455015885691,0.4843039770143716,0.2916666666666667
basis_selection,quantum,12,36,80,3,3,0.7625,0.79085809055281,2.269484862425476,0.5863688640942291,0.48644659488362113,0.33766233766233766
basis_selection,quantum,12,37,80,14,14,0.7,0.8812908992306927,2.322248429941193,0.5407915130862629,0.47702879660579567,0.42424242424242425
basis_selection,quantum,12,38,80,12,12,0.75,0.8112781244591328,2.3437719106592247,0.47862440509262316,0.4853821580065117,0.35294117647058826
basis_selection,quantum,12,39,80,6,6,0.75,0.8112781244591328,2.3701922563668107,0.48362300178704165,0.46864941082798844,0.35135135135135137
basis_selection,quantum,12,40,80,18,18,0.725,0.8485481782946158,2.3373025796136715,0.4888248230909372,0.4919550457997751,0.5
basis_selection,quantum,12,41,80,14,14,0.7375,0.8304955225035798,2.3566634107112643,0.502342223827824,0.4762098080152234,0.42424242424242425
basis_selection,quantum,12,42,80,9,9,0.75,0.8112781244591328,2.373096567825145,0.43862691307842633,0.48508958916597866,0.28169014084507044
basis_selection,quantum,12,43,80,8,8,0.7625,0.79085809055281,2.3609051121516367,0.4267373103017206,0.49519198141111,0.4027777777777778
basis_selection,quantum,12,44,80,12,12,0.7375,0.8304955225035798,2.361269710126464,0.4400700506498002,0.49315693738736116,0.38235294117647056
basis_selection,quantum,12,45,80,14,14,0.7375,0.8304955225035798,2.3322271576528095,0.4367172026266469,0.5122620764432055,0.4090909090909091
basis_selection,quantum,12,46,80,6,6,0.725,0.8485481782946158,2.329418803012172,0.43208072545357845,0.5137827777297002,0.3108108108108108
basis_selection,quantum,12,47,80,11,11,0.75,0.8112781244591328,2.2930946191414385,0.42638263830132705,0.5339707395762892,0.2898550724637681
basis_selection,quantum,12,48,80,10,10,0.725,0.8485481782946158,2.29306705852864,0.4254011920637656,0.5338312131412367,0.4
basis_selection,quantum,12,49,80,14,14,0.7375,0.8304955225035798,2.2526550084336874,0.41588613244133277,0.5598979949835083,0.36363636363636365
basis_selection,quantum,12,50,80,11,11,0.7125,0.8654698974285928,2.245794645219097,0.39314622351527423,0.5691306723415852,0.463768115942029
basis_selection,quantum,12,51,80,11,11,0.7,0.8812908992306927,2.268027297999713,0.40829874683221634,0.5531794679743353,0.30434782608695654
basis_selection,quantum,12,52,80,9,9,0.6875,0.8960382325345575,2.27422630619477,0.4370751847996901,0.543260764273979,0.4225352112676056
basis_selection,quantum,12,53,80,9,9,0.675,0.9097361225311661,2.253259950544271,0.4385463711445434,0.5555270212166707,0.5070422535211268
basis_selection,quantum,12,54,80,14,14,0.7125,0.8654698974285928,2.282510290836666,0.43908805469893375,0.5382647481672281,0.4090909090909091
basis_selection,quantum,12,55,80,11,11,0.675,0.9097361225311661,2.2551729356457053,0.4524321544865986,0.5484773989102327,0.43478260869565216
basis_selection,quantum,12,56,80,6,6,0.6875,0.8960382325345575,2.248004516661846,0.45027165079047876,0.552853101292164,0.4864864864864865
basis_selection,quantum,12,57,80,6,6,0.725,0.8485481782946158,2.2975962462149067,0.43800114017560465,0.5286636693675202,0.40540540540540543
basis_selection,quantum,12,58,80,9,9,0.725,0.8485481782946158,2.2857263495030837,0.41544617123567745,0.5343257428343421,0.36619718309859156
basis_selection,quantum,12,59,80,10,10,0.75,0.8112781244591328,2.2569262059551773,0.38682176681171665,0.5577741895342166,0.4
basis_selection,quantum,12,60,80,14,14,0.8125,0.6962122601251458,2.28601227888764,0.39488649986685226,0.542636833059259,0.3787878787878788
basis_selection,quantum,12,61,80,9,9,0.8,0.7219280948873623,2.2558053085635503,0.38202281915931025,0.5637190828223483,0.2112676056338028
basis_selection,quantum,12,62,80,9,9,0.7875,0.7462343013654811,2.265527921943177,0.38512056010554313,0.5569563460732855,0.36619718309859156
basis_selection,quantum,12,63,80,16,16,0.7625,0.79085809055281,2.286494682153356,0.36025594213814105,0.552375517899633,0.296875
basis_selection,quantum,12,64,80,15,15,0.7875,0.7462343013654811,2.3165265454714,0.3667426085320727,0.5332023460100217,0.3230769230769231
basis_selection,quantum,13,0,24,0,0,0.5,1.0,1.8057567797368816,0.5763649211708239,0.6701714522875895,0.0
basis_selection,quantum,13,1,23,2,3,0.43478260869565216,0.9876925088958033,1.7612129717477774,0.6083404114230448,0.6643083008210612,0.47619047619047616
basis_selection,quantum,13,2,29,7,1,0.5517241379310345,0.9922666387194963,1.8857976686558546,0.5921192643533136,0.6439977821579534,0.5454545454545454
basis_selection,quantum,13,3,37,10,2,0.5675675675675675,0.9867867202680318,1.8818510660401058,0.6032575781503735,0.6403182025023935,0.5925925925925926
basis_selection,quantum,13,4,41,9,5,0.5609756097560976,0.9892452969285003,2.0108424966466205,0.5237812589581213,0.6435135467762595,0.4375
basis_selection,quantum,13,5,45,11,7,0.5333333333333333,0.9967916319816366,2.0648014268256976,0.5029271569895887,0.6285209685843841,0.4411764705882353
basis_selection,quantum,13,6,52,12,5,0.5576923076923077,0.990374836448575,2.0048810364012706,0.5026625859722942,0.6496203314271184,0.525
basis_selection,quantum,13,7,54,14,12,0.5555555555555556,0.9910760598382222,2.008363447575885,0.5493270860084636,0.6444688038422905,0.325
basis_selection,quantum,13,8,56,10,8,0.5357142857142857,0.996316519558962,2.0602390481204194,0.5350266087395141,0.6294400470073916,0.34782608695652173
basis_selection,quantum,13,9,70,17,3,0.5428571428571428,0.9946937953613058,2.0843984934260926,0.544466220312755,0.608563961718985,0.4716981132075472
basis_selection,quantum,13,10,76,17,11,0.5921052631578947,0.9753817903274211,2.07525465146719,0.5244415996480772,0.6183843980234303,0.5254237288135594
basis_selection,quantum,13,11,80,15,11,0.6375,0.9447388286467892,2.1223050318536187,0.5080969600930034,0.6053744001644983,0.5384615384615384
basis_selection,quantum,13,12,80,10,10,0.625,0.9544340029249649,2.1170792335200384,0.49547351479221907,0.6107272321336064,0.4714285714285714
basis_selection,quantum,13,13,80,17,17,0.6375,0.9447388286467892,2.1530573065183782,0.4466865389655026,0.608344300683403,0.38095238095238093
basis_selection,quantum,13,14,80,13,13,0.6375,0.9447388286467892,2.185945810911295,0.44387329668767733,0.6008614524002808,0.5671641791044776
basis_selection,quantum,13,15,80,14,14,0.6625,0.9224062617590723,2.277313770370944,0.3993253516078443,0.5699560913247842,0.5
basis_selection,quantum,13,16,80,8,8,0.6625,0.9224062617590723,2.2796775052756164,0.39143939568071934,0.5664663470040292,0.3888888888888889
basis_selection,quantum,13,17,80,8,8,0.7,0.8812908992306927,2.2920124991771607,0.3945215759849691,0.5590967342772425,0.2916666666666667
basis_selection,quantum,13,18,80,10,10,0.7,0.8812908992306927,2.326834541196274,0.3748831113026531,0.5434938171116084,0.38571428571428573
basis_selection,quantum,13,19,80,8,8,0.675,0.9097361225311661,2.3229351920690675,0.361515303970009,0.5463387873691361,0.5277777777777778
basis_selection,quantum,13,20,80,13,13,0.6625,0.9224062617590723,2.324927595933962,0.3391864731058498,0.5420083278167396,0.3880597014925373
basis_selection,quantum,13,21,80,8,8,0.7,0.8812908992306927,2.339337737298391,0.3402751708166466,0.5325693385637467,0.5138888888888888
basis_selection,quantum,13,22,80,9,9,0.725,0.8485481782946158,2.3287130258716227,0.33393320880558197,0.5400285599368436,0.4084507042253521
basis_selection,quantum,13,23,80,18,18,0.725,0.8485481782946158,2.2868730228363585,0.30753133153822176,0.561167905379124,0.41935483870967744
basis_selection,quantum,13,24,80,8,8,0.75,0.8112781244591328,2.278659035514327,0.308743115549105,0.5663555565744639,0.4305555555555556
basis_selection,quantum,13,25,80,10,10,0.7625,0.79085809055281,2.2660775553575556,0.32431823017112366,0.5736454467934382,0.4857142857142857
basis_selection,quantum,13,26,80,7,7,0.775,0.7691928290130137,2.2620755394703917,0.2917839789843878,0.5779072852497561,0.273972602739726
basis_selection,quantum,13,27,80,7,7,0.8,0.7219280948873623,2.277132462196216,0.28146289545813025,0.57133758470415,0.3150684931506849
basis_selection,quantum,13,28,80,9,9,0.7875,0.7462343013654811,2.2960869226589944,0.26757430433736634,0.5617782760435107,0.352112676056338
basis_selection,quantum,13,29,80,8,8,0.7875,0.7462343013654811,2.29911242727259,0.27236199051407844,0.5663224454159846,0.4027777777777778
basis_selection,quantum,13,30,80,10,10,0.7625,0.79085809055281,2.275275254964885,0.2551313990909619,0.5767671925431357,0.35714285714285715
basis_selection,quantum,13,31,80,15,15,0.7875,0.7462343013654811,2.2689536314489316,0.2445862597773452,0.5829549134148065,0.3230769230769231
basis_selection,quantum,13,32,80,15,15,0.7875,0.7462343013654811,2.256706089591417,0.2406136523643358,0.5913891390631912,0.3230769230769231
basis_selection,quantum,13,33,80,15,15,0.775,0.7691928290130137,2.244499373205068,0.25174432302480165,0.6041722402053613,0.2923076923076923
basis_selection,quantum,13,34,80,7,7,0.7375,0.8304955225035798,2.2518801870452108,0.24736664670781472,0.6020903337270405,0.3835616438356164
basis_selection,quantum,13,35,80,15,15,0.7375,0.8304955225035798,2.2715322497167554,0.2515349396523705,0.5912718909360519,0.4
basis_selection,quantum,13,36,80,14,14,0.675,0.9097361225311661,2.266904089582653,0.26689027975769547,0.592052077452127,0.3787878787878788
basis_selection,quantum,13,37,80,7,7,0.675,0.9097361225311661,2.251753699586996,0.2744836997816834,0.5994511184340431,0.3424657534246575
basis_selection,quantum,13,38,80,11,11,0.6625,0.9224062617590723,2.235505707811824,0.2537958690341909,0.606142974891294,0.4927536231884058
basis_selection,quantum,13,39,80,10,10,0.7125,0.8654698974285928,2.236100253898857,0.2652816308588552,0.6002257544094365,0.45714285714285713
basis_selection,quantum,13,40,80,13,13,0.7375,0.8304955225035798,2.255675953412942,0.2754045750738198,0.5948553225953537,0.417910447761194
basis_selection,quantum,13,41,80,17,17,0.725,0.8485481782946158,2.2668084241682798,0.28751403118166835,0.5869589339244633,0.3968253968253968
basis_selection,quantum,13,42,80,16,16,0.7,0.8812908992306927,2.2488574821454437,0.3004081222960918,0.5919010072277535,0.421875
basis_selection,quantum,13,43,80,7,7,0.7,0.8812908992306927,2.235978557634547,0.2928359995829502,0.5965519232690497,0.4520547945205479
basis_selection,quantum,13,44,80,10,10,0.7375,0.8304955225035798,2.2470594738449394,0.28800342218626956,0.5910535325307823,0.4
basis_selection,quantum,13,45,80,11,11,0.725,0.8485481782946158,2.2456697363163967,0.28784139552333227,0.5960256195548002,0.42028985507246375
basis_selection,quantum,13,46,80,6,6,0.7375,0.8304955225035798,2.270418439891903,0.30050928897748974,0.5795984153343738,0.3783783783783784
basis_selection,quantum,13,47,80,12,12,0.7125,0.8654698974285928,2.2678753758181807,0.284369816949048,0.581745823256606,0.4117647058823529
basis_selection,quantum,13,48,80,13,13,0.75,0.8112781244591328,2.2731756994576378,0.3063961385858062,0.5771113258137508,0.4626865671641791
basis_selection,quantum,13,49,80,19,19,0.7125,0.8654698974285928,2.2917493998192824,0.27797100196144564,0.5714128657703854,0.39344262295081966
basis_selection,quantum,13,50,80,14,14,0.7125,0.8654698974285928,2.2910407876863275,0.27103798770212534,0.5632233482916881,0.4393939393939394
basis_selection,quantum,13,51,80,9,9,0.6875,0.8960382325345575,2.291018251865493,0.26940465082127707,0.5634734081310309,0.39436619718309857
basis_selection,quantum,13,52,80,7,7,0.725,0.8485481782946158,2.2908108562715035,0.2823450527179395,0.5688353121992444,0.4794520547945205
basis_selection,quantum,13,53,80,13,13,0.7125,0.8654698974285928,2.2776360113335588,0.27816911384277815,0.5778944213349918,0.34328358208955223
basis_selection,quantum,13,54,80,10,10,0.725,0.8485481782946158,2.2676957130810798,0.26678433780641675,0.576413113647576,0.5142857142857142
basis_selection,quantum,13,55,80,19,19,0.6625,0.9224062617590723,2.272488792207812,0.26912205155417457,0.5720280830131392,0.5081967213114754
basis_selection,quantum,13,56,80,11,11,0.6875,0.8960382325345575,2.2851121902317177,0.26397902620901076,0.5677088217891002,0.4057971014492754
basis_selection,quantum,13,57,80,11,11,0.7125,0.8654698974285928,2.298117171728989,0.2761927675881429,0.5590380407841776,0.37681159420289856
basis_selection,quantum,13,58,80,8,8,0.7125,0.8654698974285928,2.290539168229929,0.2663288293578294,0.5680943238568806,0.3888888888888889
basis_selection,quantum,13,59,80,10,10,0.7125,0.8654698974285928,2.3029146328120467,0.2793690284845967,0.5587715931656909,0.38571428571428573
basis_selection,quantum,13,60,80,11,11,0.725,0.8485481782946158,2.319117500900351,0.25986112221680124,0.5589738860793293,0.36231884057971014
basis_selection,quantum,13,61,80,11,11,0.7375,0.8304955225035798,2.3026752238738433,0.2603450032241718,0.5654069052840729,0.5362318840579711
basis_selection,quantum,13,62,80,7,7,0.7625,0.79085809055281,2.318216619946547,0.2680433591800678,0.5541131664012805,0.3972602739726027
basis_selection,quantum,13,63,80,9,9,0.7625,0.79085809055281,2.310325771736243,0.26803164204510743,0.550473961431058,0.4507042253521127
basis_selection,quantum,13,64,80,12,12,0.7875,0.7462343013654811,2.3220008073912357,0.2721371970718045,0.5429213132798353,0.39705882352941174
basis_selection,quantum,14,0,24,0,0,0.625,0.9544340029249649,1.8340492937260156,0.713572328180325,0.5880229392463546,0.0
basis_selection,quantum,14,1,24,5,5,0.5833333333333334,0.9798687566511528,1.6444173712783285,0.6924382766176082,0.6329678934317532,0.47368421052631576
basis_selection,quantum,14,2,26,4,2,0.5769230769230769,0.9828586897127056,1.6637791446248462,0.6803104178221592,0.6375676033928784,0.5
basis_selection,quantum,14,3,32,8,2,0.59375,0.9744894033980523,1.8268353980869612,0.6381730970330595,0.6364438011987728,0.4583333333333333
basis_selection,quantum,14,4,40,10,2,0.6,0.9709505944546686,1.8129365540490787,0.5725404043612241,0.6566928948315637,0.5
basis_selection,quantum,14,5,45,8,3,0.6444444444444445,0.9389320105807949,1.7548711406180972,0.524155982893236,0.6913660895472434,0.4864864864864865
